Incident_ID,Month,Day,Year,Date,School,Victims_Killed,Victims_Wounded,Number_Victims,Shooter_Killed,Quarter,City,State,School_Level,Location,Location_Type,During_Classes,Duration_min,Situation,Targets,Shots_Fired
20200318LABOS,3,18,2020,18-03-20,Booker T. Washington High School,0,1,1,0,Spring,Shreveport,LA,High,Parking Lot,Outside on School Property,No,1,Escalation of Dispute,Victims Targeted,1
20200315TXATH,3,15,2020,15-03-20,Atascocita High School,1,0,1,0,Spring,Humble,TX,High,Football Field/Track,Outside on School Property,No,1,Escalation of Dispute,Victims Targeted,<10
20200313TNPIR,3,13,2020,13-03-20,Pine View Elementary,0,0,0,0,Spring,Rockwood,TN,Elementary,Office,Inside School Building,Yes,1,Accidental,Neither,1
20200310PASHN,3,10,2020,10-03-20,Shenango Area Schools (bus),0,0,0,0,Spring,New Castle,PA,Elementary,School Bus,School Bus,Yes,1,Indiscriminate Shooting,,1
20200305FLSAW,3,5,2020,05-03-20,Sagemont School,0,1,1,0,Spring,Weston,FL,K-12,Parking Lot,Outside on School Property,Yes,1,Accidental,Random Shooting,1
20200302TXNOF,3,2,2020,02-03-20,North Forney High School,0,0,0,0,Spring,Forney,TX,High,Inside School Building,Inside School Building,Yes,1,Accidental,Neither,1
20200227FLJET,2,27,2020,27-02-20,Jefferson High School,0,1,1,0,Winter,Tampa,FL,High,Football Field/Track,Outside on School Property,No,1,Accidental,Neither,1
20200221NMCEA,2,21,2020,21-02-20,Cesar Chavez Community School,0,0,0,0,Winter,Albuquerque,NM,Other,Front of School,Outside on School Property,Yes,1,Drive-by Shooting,Victims Targeted,
20200215DCDUW,2,15,2020,15-02-20,Dunbar High School,1,0,1,0,Winter,Washington,DC,High,Front of School,Outside on School Property,No,1,Drive-by Shooting,,
20200213UTWES,2,13,2020,13-02-20,West High School,0,0,0,0,Winter,Salt Lake City,UT,High,Outside on School Property,Outside on School Property,Yes,1,Escalation of Dispute,Victims Targeted,1
20200212MOJOF,2,12,2020,12-02-20,Johnson-Wabash Elementary School,0,0,0,0,Winter,Ferguson,MO,Elementary,School Bus,School Bus,Yes,1,Escalation of Dispute,Victims Targeted,0
20200205NHSEC,2,5,2020,05-02-20,Second Start Alternative High School,0,0,0,1,Winter,Concord,NH,High,Classroom,Inside School Building,Yes,1,Suicide/Attempted,Victims Targeted,1
20200204LABEA,2,4,2020,04-02-20,Beau Chene High School,0,0,0,0,Winter,Arnaudville,LA,High,Parking Lot,Outside on School Property,No,1,Escalation of Dispute,Neither,1
20200203FLGEJ,2,3,2020,03-02-20,George Washington Carver Elementary School,0,1,1,0,Winter,Jacksonville,FL,Elementary,Parking Lot,Outside on School Property,No,1,Drive-by Shooting,,10
20200201TXHIH,2,1,2020,01-02-20,Hicks Elementary School,0,1,1,0,Winter,Houston,TX,Elementary,Outside on School Property,Outside on School Property,No,1,Illegal Activity,Victims Targeted,1
20200131CADEA,1,31,2020,31-01-20,Deer Valley High School,1,0,1,0,Winter,Antioch,CA,High,Parking Lot,Outside on School Property,No,1,Escalation of Dispute,,
20200128TXLUL,1,28,2020,28-01-20,Lufkin Middle School,0,1,1,0,Winter,Lufkin,TX,High,Front of School,Outside on School Property,No,1,Escalation of Dispute,Victims Targeted,<10
20200128TNWHM,1,28,2020,28-01-20,White Station High School,0,1,1,0,Winter,Memphis,TN,High,Parking Lot,Outside on School Property,No,1,Drive-by Shooting,Both,5
20200128NYMAQ,1,28,2020,28-01-20,Martin Van Buren High School,0,0,0,0,Winter,Queens,NY,High,Beside Building,Outside on School Property,Yes,1,Escalation of Dispute,,1
20200127WAROY,1,27,2020,27-01-20,Robertson Elementary School,0,0,0,0,Winter,Yakima,WA,Elementary,Playground,Outside on School Property,No,1,Illegal Activity,Victims Targeted,0
20200123CAOXO,1,23,2020,23-01-20,Oxnard's Christa McAuliffe Elementary School,0,1,1,0,Winter,Oxnard,CA,Elementary,Playground,Outside on School Property,Yes,1,Drive-by Shooting,Random Shooting,
20200121NEPAL,1,21,2020,21-01-20,Park Middle School,0,0,0,0,Winter,Lincoln,NE,Middle,Parking Lot,Outside on School Property,No,,Intentional Property Damage,Neither,
20200121ILLIC,1,21,2020,21-01-20,Lindblom Math & Science Academy High School,0,1,1,0,Winter,Chicago,IL,High,Front of School,Outside on School Property,No,1,Illegal Activity,Victims Targeted,
20200119TXNOF,1,19,2020,19-01-20,North Crowley Ninth Grade Campus,0,2,2,0,Winter,Fort Worth,TX,High,Parking Lot,Outside on School Property,No,1,Escalation of Dispute,Both,
20200117SCCAS,1,17,2020,17-01-20,Cane Bay High School,0,0,0,1,Winter,Summerville,SC,High,Parking Lot,Outside on School Property,Yes,1,Suicide/Attempted,Victims Targeted,1
20200117MITHH,1,17,2020,17-01-20,Three Fires Elementary School,0,1,1,0,Winter,Howell,MI,Elementary,Parking Lot,Outside on School Property,Yes,1,Accidental,Neither,1
20200114TXPOM,1,14,2020,14-01-20,Poteet High School,0,0,0,0,Winter,Mesquite,TX,High,Parking Lot,Outside on School Property,No,1,Escalation of Dispute,Victims Targeted,
20200114TXBEH,1,14,2020,14-01-20,Bellaire High School,1,0,1,0,Winter,Houston,TX,High,Classroom,Inside School Building,Yes,1,Accidental,Neither,1
20200111TXELD,1,11,2020,11-01-20,Ellis Davis Field House,1,1,2,0,Winter,Dallas,TX,High,Gym,Inside School Building,No,1,Escalation of Dispute,Both,
20200110MSMCJ,1,10,2020,10-01-20,McWillie Elementary School,0,1,1,0,Winter,Jackson,MS,Middle,School Bus,School Bus,Yes,1,Unknown,,
20200108FLGLB,1,8,2020,08-01-20,Glades Central Community High School,0,0,0,0,Winter,Belle Glade,FL,High,Parking Lot,Outside on School Property,Yes,1,Accidental,Neither,1
20200107WASOK,1,7,2020,07-01-20,Southridge High School,0,0,0,0,Winter,Kennewick,WA,High,Beside Building,Outside on School Property,No,,Intentional Property Damage,Neither,
20191228MOMAS,12,28,2019,28-12-19,Mason-Clark Middle School,1,0,1,0,Winter,East St. Louis,IL,Middle,Parking Lot,Outside on School Property,No,1,Unknown,Victims Targeted,
20191221LAWES,12,21,2019,21-12-19,West St. John Elementary School,0,4,4,0,Winter,St. John the Baptist Parish,LA,Elementary,Parking Lot,Outside on School Property,No,1,Escalation of Dispute,,
20191219FLLEN,12,19,2019,19-12-19,Lely High School,1,0,1,0,Winter,Naples,FL,High,Parking Lot,Outside on School Property,No,1,Domestic w/ Targeted Victim,Victims Targeted,
20191216CTCAN,12,16,2019,16-12-19,Catholic Academy of New Haven,0,1,1,0,Winter,New Haven,CT,K-8,Beside Building,Outside on School Property,Yes,1,Drive-by Shooting,Victims Targeted,10
20191213VAMAN,12,13,2019,13-12-19,Maury High School,0,0,0,0,Winter,Norfolk,VA,High,Classroom,Inside School Building,Yes,1,Accidental,Neither,1
20191211KSCHT,12,11,2019,11-12-19,Chase Middle School,0,0,0,0,Winter,Topeka,KS,Middle,School Bus,School Bus,Yes,1,Unknown,,<10
20191211INEVE,12,11,2019,11-12-19,Evans Elementary School,0,0,0,0,Winter,Evansville,IN,Elementary,School Bus,School Bus,No,1,Unknown,,
20191210NJSAJ,12,10,2019,10-12-19,Sacred Heart School,0,0,0,0,Winter,Jersey City,NJ,K-8,Off School Property,Off School Property,Yes,60,Indiscriminate Shooting,Neither,>100
20191210KSJCK,12,10,2019,10-12-19,J C Harmon High School,0,0,0,0,Winter,Kansas City,KS,High,Parking Lot (Bus),Off School Property,Yes,1,Drive-by Shooting,,10
20191210ALDED,12,10,2019,10-12-19,Decatur High School,0,0,0,0,Winter,Decatur,AL,High,Parking Lot,Outside on School Property,Yes,1,Domestic w/ Targeted Victim,Victims Targeted,<10
20191204NMPIL,12,4,2019,04-12-19,Picacho Middle School,0,0,0,0,Winter,Las Cruces,NM,High,Office,Inside School Building,Yes,1,Accidental,Neither,1
20191203WITHM,12,3,2019,03-12-19,Thomas Jefferson Middle School,0,2,2,0,Winter,Madison,WI,Middle,School Bus,School Bus,Yes,1,Unknown,Victims Targeted,1
20191203WIOSO,12,3,2019,03-12-19,Oshkosh West High School,0,1,1,0,Winter,Oshkosh,WI,High,Hallway,Inside School Building,Yes,1,Officer-Involved Shooting,NA,1
20191202WIWAW,12,2,2019,02-12-19,Waukesha South High School,0,0,0,0,Winter,Waukesha,WI,High,Classroom,Inside School Building,Yes,,Bullying,,
20191201ALMOM,12,1,2019,01-12-19,Mountain Brook High School,1,0,1,0,Winter,Mountain Brook,AL,High,Parking Lot,Outside on School Property,No,1,Domestic w/ Targeted Victim,Victims Targeted,
20191126WASAV,11,26,2019,26-11-19,Sarah J. Anderson Elementary School,0,2,2,1,Fall,Vancouver,WA,Elementary,Parking Lot,Outside on School Property,Yes,1,Domestic w/ Targeted Victim,Victims Targeted,<10
20191125ILCAC,11,25,2019,25-11-19,Catalyst Circle Rock Charter School,0,1,1,0,Fall,Chicago,IL,Elementary,Front of School,Both Inside/Outside,Yes,1,Unknown,Victims Targeted,6
20191124CASEU,11,24,2019,24-11-19,Searles Elementary School,2,0,2,0,Fall,Union City,CA,Elementary,Parking Lot,Outside on School Property,No,1,Illegal Activity,Random Shooting,
20191121ILRIO,11,21,2019,21-11-19,Rich Central High School,0,1,1,0,Fall,Olympia Fields,IL,High,Parking Lot (Bus),Outside on School Property,Yes,1,Intentional Property Damage,Random Shooting,1
20191115NJPLP,11,15,2019,15-11-19,Pleasantville High School,1,2,3,0,Fall,Pleasantville,NJ,High,Football Field/Track,Outside on School Property,No,1,Unknown,Both,6
20191114CASAS,11,14,2019,14-11-19,Saugus High School,2,3,5,1,Fall,Santa Clarita,CA,High,Courtyard,Outside on School Property,Yes,1,Indiscriminate Shooting,Random Shooting,6
20191113CAESL,11,13,2019,13-11-19,Esteban Torres High School,1,0,1,0,Fall,Los Angeles,CA,High,Courtyard,Outside on School Property,Yes,1,Officer-Involved Shooting,NA,
20191111MDACB,11,11,2019,11-11-19,Achievement Academy,0,1,1,0,Fall,Baltimore,MD,High,Parking Lot,Outside on School Property,Yes,1,Escalation of Dispute,Victims Targeted,<10
20191108TXROD,11,8,2019,08-11-19,Robert L. Thornton Elementary School,1,0,1,0,Fall,Dallas,TX,Elementary,Basketball Court,Outside on School Property,No,1,Escalation of Dispute,Victims Targeted,30
20191108CAEDS,11,8,2019,08-11-19,Edison High School,0,0,0,0,Fall,Stockton,CA,High,Football Field/Track,Outside on School Property,No,1,Escalation of Dispute,,>10
20191029NYNEN,10,29,2019,29-10-19,New Dawn Charter High School,0,1,1,0,Fall,New York,NY,High,Front of School,Outside on School Property,Yes,1,Escalation of Dispute,Both,4
20191027MDLAL,10,27,2019,27-10-19,Laurel Woods Elementary School,0,1,1,0,Fall,Laurel,MD,Elementary,Parking Lot,Outside on School Property,No,1,Escalation of Dispute,Both,<10
20191022NJBRB,10,22,2019,22-10-19,Brick Memorial High School,0,1,1,0,Fall,Brick Township,NJ,High,Off School Property,Off School Property,Yes,1,,Victims Targeted,
20191022CARIS,10,22,2019,22-10-19,Ridgway High School,0,1,1,0,Fall,Santa Rosa,CA,High,Beside Building,Outside on School Property,Yes,1,Escalation of Dispute,Victims Targeted,4
20191022MIPOH,10,22,2019,22-10-19,Poupard Elementary School,0,1,1,0,Fall,Harper Woods,MI,Elementary,Playground,Outside on School Property,No,1,Escalation of Dispute,Victims Targeted,99
20191018OHWOT,10,18,2019,18-10-19,Woodward High School,0,0,0,0,Fall,Toledo,OH,High,Football Field/Track,Outside on School Property,No,1,Escalation of Dispute,,
20191018GACRS,10,18,2019,18-10-19,Creekside High School,0,1,1,0,Fall,South Fulton,GA,High,Beside Building,Outside on School Property,No,1,Unknown,,<10
20191015LAGEN,10,15,2019,15-10-19,George Washington Carver High School,0,1,1,0,Fall,New Orleans,LA,High,Off School Property,Off School Property,Yes,1,Escalation of Dispute,,
20191011LARAR,10,11,2019,11-10-19,Rayne High School,0,0,0,0,Fall,Rayne,LA,High,Parking Lot,Outside on School Property,No,1,Indiscriminate Shooting,Victims Targeted,20
20191009MAGRL,10,9,2019,09-10-19,Greenhalge Elementary School,0,5,5,0,Fall,Lowell,MA,Elementary,Playground,Outside on School Property,No,,Indiscriminate Shooting,Random Shooting,
20191008TXWEH,10,8,2019,08-10-19,Westbury High School,0,1,1,0,Fall,Houston,TX,High,Beside Building,,No,,Unknown,,
20191008COSHS,10,8,2019,08-10-19,Sheridan High School,0,1,1,0,Fall,Sheridan,CO,High,Beside Building,Outside on School Property,No,1,Escalation of Dispute,Victims Targeted,
20191002GASOA,10,2,2019,02-10-19,South Atlanta High School,0,0,0,0,Fall,Atlanta,GA,High,Field (General),Outside on School Property,No,1,Escalation of Dispute,Neither,1
20190927NCZEC,9,27,2019,27-09-19,Zebulon B. Vance High School,0,0,0,0,Fall,Charlotte,NC,High,Parking Lot,Outside on School Property,No,1,Escalation of Dispute,,<10
20190927CADER,9,27,2019,27-09-19,De Anza High School,0,3,3,0,Fall,Richmond,CA,High,Off School Property,Off School Property,No,1,Escalation of Dispute,Both,
20190925DCAIW,9,25,2019,25-09-19,Aiton Elementary School,0,0,0,0,Fall,Washington,DC,Elementary,Classroom,Both Inside/Outside,No,1,Drive-by Shooting,Random Shooting,99
20190920PASIP,9,20,2019,20-09-19,Simon Gratz High School Mastery Charter,0,2,2,0,Fall,Philadelphia,PA,High,Football Field/Track,Outside on School Property,No,1,Escalation of Dispute,,
20190918MNFOC,10,18,2019,18-10-19,Fond Du Lac Ojibwe High School,0,1,1,0,Fall,Cloquet,MN,High,Outside on School Property,Outside on School Property,Yes,1,Domestic w/ Targeted Victim,Victims Targeted,1
20190916VAPHH,9,16,2019,16-09-19,Phoebus High School,1,0,1,0,Fall,Hampton,VA,High,Parking Lot,Off School Property,Yes,1,Unknown,Victims Targeted,<10
20190916ILILK,9,16,2019,16-09-19,Illinois Central School Bus,0,0,0,0,Fall,Kankakee,IL,,School Bus,School Bus,Yes,1,Unknown,Victims Targeted,
20190914TXEAF,9,14,2019,14-09-19,Eastern Hills High School,0,2,2,0,Fall,Fort Worth,TX,High,Football Field/Track,Outside on School Property,No,1,Escalation of Dispute,Both,Oct-30
20190913VAETN,9,13,2019,13-09-19,Ethel M. Gildersleeve Middle School,0,3,3,0,Fall,Newport News,VA,Middle,Football Field/Track,Outside on School Property,No,1,Escalation of Dispute,,
20190913UTGRW,9,13,2019,13-09-19,Granger High School,0,0,0,0,Fall,West Valley City,UT,High,Football Field/Track,Outside on School Property,No,1,Escalation of Dispute,Neither,2
20190912KSMAM,9,12,2019,12-09-19,Manhattan High School,0,0,0,0,Fall,Manhattan,KS,High,Parking Lot,Outside on School Property,No,1,Illegal Activity,,4
20190910SCSOA,9,10,2019,10-09-19,South Aiken High School,0,0,0,0,Fall,Aiken,SC,High,Parking Lot,Outside on School Property,No,1,Escalation of Dispute,Victims Targeted,1
20190906PAWEM,9,6,2019,06-09-19,West Palmer High School,0,1,1,0,Fall,Morrisville,PA,High,Parking Lot,Outside on School Property,No,1,Escalation of Dispute,,3
20190906PAMCJ,9,6,2019,06-09-19,McKee Middle School,1,0,1,0,Fall,Jeannette,PA,Middle,Football Field/Track,Outside on School Property,No,1,Escalation of Dispute,Victims Targeted,1
20190906ALCEC,9,6,2019,06-09-19,Center Point High School,0,0,0,0,Fall,Center Point,AL,High,Football Field/Track,Outside on School Property,No,1,Indiscriminate Shooting,,8
20190902MDNOB,9,2,2019,02-09-19,Northwood Elementary School,1,2,3,0,Fall,Baltimore,MD,Elementary,Courtyard,Outside on School Property,No,1,Escalation of Dispute,,
20190830OHCET,8,30,2019,30-08-19,Central Catholic High School,0,1,1,0,Summer,Toledo,OH,High,Football Field/Track,Outside on School Property,No,1,Escalation of Dispute,Random Shooting,<10
20190830NCKIK,8,30,2019,30-08-19,Kinston High School,0,0,0,0,Summer,Kingston,NC,High,Parking Lot,Outside on School Property,No,1,Escalation of Dispute,Neither,<10
20190830ALLAM,8,30,2019,30-08-19,Ladd-Peebles Stadium,0,10,10,0,Summer,Mobile,AL,High,Off School Property,Off School Property,No,1,Escalation of Dispute,Both,
20190827NYROR,8,27,2019,27-08-19,Roosevelt High School,0,0,0,0,Summer,Roosevelt,NY,High,Field (General),Outside on School Property,No,1,Escalation of Dispute,Victims Targeted,3
20190827CAHOL,8,27,2019,27-08-19,Hollenbeck Middle School,0,1,1,0,Summer,Los Angeles,CA,High,Cafeteria,Off School Property,Yes,1,Unknown,,
20190824PAWIP,8,24,2019,24-08-19,William C. Longstreth Elementary School,1,0,1,0,Summer,Philadelphia,PA,Elementary,Playground,Outside on School Property,No,1,Escalation of Dispute,Victims Targeted,6
20190823MOROS,8,23,2019,23-08-19,Roosevelt High School,1,0,1,0,Summer,St. Louis,MO,High,Parking Lot,Outside on School Property,No,1,Unknown,Victims Targeted,
20190823MOPAS,8,23,2019,23-08-19,Parkway North High School,0,0,0,0,Summer,St. Louis,MO,High,Football Field/Track,Outside on School Property,No,1,Escalation of Dispute,,<5
20190823GAPEC,8,23,2019,23-08-19,Peek's Chapel Elementary School,0,1,1,0,Summer,Conyers,GA,Elementary,Outside on School Property,Outside on School Property,No,1,Unknown,,
