"Incident_ID","Date","School","City","State","Summary","Targets"
"20220313PANEP","2022-03-13","New Foundations Charter School","Philadelphia","PA","Classroom window broken by gunshot, bullet found in classroom","null"
"20220311WIJER","2022-03-11","Jerstad-Agerholm Elementary School","Racine","WI","Student fired shot inside school bathroom","Neither"
"20220311OHMAM","2022-03-18","Madison High School","Mansfield","OH","School van with coach and 4 students was struck by a bullet while driving","Random Shooting"
"20220311OHFAP","2022-03-11","Fairland Middle School","Proctorville","OH","Fair employee fired three shots at fleeing robber climbing fence to school property ","Victims Targeted"
"20220311CADER","2022-03-11","De Anza High School","Richmond","CA","Shots fired during fight at dismissal","Both"
"20220310TNHAM","2022-03-10","Hamilton Middle School","Memphis","TN","Mother threatened 5 students with gun during argument","Victims Targeted"
"20220310MDCOL","2022-03-10","Cora L. Rice Elementary School","Landover","MD","Adult man killed and school bus struck by bullet at dismissal","Victims Targeted"
"20220310COROH","2022-03-10","Rock Canyon High School","Highlands Ranch","CO","Student fired toy rifle in the parking lot causing lockdown","Neither"
"20220309TXNOH","2022-03-09","Kimball High School","Houston","TX","Team trainer shot in foot on bus after high school game","Random Shooting"
"20220309NMESE","2022-03-09","Espanola Valley High School","Espanola","NM","Paintballs fired a team bus in parking lot","Neither"
"20220309FLNOM","2022-03-09","North Gardens High School","Miami Gardens","FL","Teens fired from car into school building striking 3 students","Both"
"20220307IAEAD","2022-03-07","East High School","Des Moines","IA","3 teens shot in front of school at dismissal","Both"
"20220304KSOLO","2022-03-04","Olathe East High School","Olathe","KS","Student shot principal and SRO in school office","Victims Targeted"
"20220303MIJWL","2022-03-03","JW Sexton High School","Lansing","MI","Teen shot in school parking lot following road rage incident","Victims Targeted"
"20220228NYBOB","2022-02-28","Boys and Girls High School","Brooklyn","NY","Student shot at dismissal in front of school","Both"
"20220227DCDUW","2022-02-27","Dunbar High School","Washington","DC","Man fatally shot in front of school","Victims Targeted"
"20220225NMWEA","2022-02-25","West Mesa High School","Albuquerque","NM","Student fatally shot another student during dispute over stolen ""ghost gun""","Victims Targeted"
